2,2,2,0,daisy
2,4,4,0,daisy
3,4,4,1,give
1,2,2,2,me
1,2,1,3,your
3,2,3,-1,
0,2,0,4,answer
4,2,2,-1,
4,0,4,5,do
2,4,2,6,.
2,2,2,0,daisy
0,2,2,0,daisy
1,3,1,1,give
0,2,1,2,me
0,0,3,3,your
0,0,1,4,answer
1,4,0,5,do
3,2,0,6,.
2,2,2,0,daisy
1,2,1,0,daisy
1,0,1,1,give
3,2,1,2,me
4,2,2,3,your
4,3,2,-1,
4,3,3,4,answer
4,3,2,-1,
2,1,0,5,do
3,0,0,6,.
1,3,2,-1,
2,2,2,0,daisy
0,4,2,0,daisy
0,4,3,1,give
0,2,2,-1,
2,4,2,-1,
3,4,1,2,me
2,0,2,3,your
1,0,1,4,answer
2,2,3,5,do
2,2,1,6,.
2,2,2,0,daisy
4,2,0,0,daisy
4,0,0,1,give
3,0,1,2,me
4,4,4,3,your
2,2,4,4,answer
3,3,4,5,do
2,4,3,6,.
2,2,2,-1,
2,0,0,0,daisy
2,4,2,0,daisy
4,4,2,1,give
3,3,3,2,me
3,2,4,3,your
1,2,2,4,answer
4,2,2,5,do
4,1,1,6,.
2,2,2,-1,
2,1,2,0,daisy
3,1,3,-1,
3,3,1,0,daisy
4,3,2,1,give
4,3,0,2,me
2,4,0,3,your
4,4,2,4,answer
3,3,2,-1,
1,3,0,5,do
4,3,1,6,.
2,2,2,0,daisy
1,2,2,0,daisy
2,2,2,0,daisy
2,3,3,-1,
1,2,1,1,give
2,2,2,0,daisy
2,1,2,-1,
2,2,2,0,daisy
2,2,2,-1,
1,3,2,0,daisy
2,2,2,-1,
2,2,2,-1,
2,1,3,2,me
3,3,2,0,daisy
2,2,2,0,daisy
0,4,2,2,me
2,2,2,0,daisy
2,4,0,2,me
2,2,2,0,daisy
1,2,1,2,me
2,2,2,0,daisy
3,2,2,4,answer
2,2,2,0,daisy
2,2,2,0,daisy
2,1,2,-1,
2,2,2,0,daisy
2,2,2,0,daisy
